Temp.treatment,Fungal.treatment,Subplot.ID,Plot.ID,Unique.Plant.ID,3.09.emergence,3.09.status,3.22.status,4.05.status,4.19.status,5.03.status,7.05.status
Control,Control,C1.3,C1,147,0,0,0,0,0,0,0
Control,Control,C1.3,C1,148,0,0,0,0,0,0,0
Control,Control,C1.3,C1,149,1,1,1,1,1,1,1
Control,Control,C1.3,C1,150,1,0,0,0,0,0,0
Control,Control,C1.3,C1,151,0,0,0,0,0,0,0
Control,Control,C1.3,C1,152,1,0,0,0,0,0,0
Control,Control,C1.3,C1,153,0,0,0,0,0,0,0
Control,Control,C1.3,C1,154,1,0,0,0,0,0,0
Control,Control,C1.3,C1,155,1,1,1,1,1,1,1
Control,Control,C1.3,C1,156,0,0,0,0,0,0,0
Control,Control,C1.3,C1,157,1,1,1,1,1,1,0
Control,Control,C1.3,C1,158,0,0,0,0,0,0,0
Control,Control,C1.3,C1,159,0,0,0,0,0,0,0
Control,Control,C1.3,C1,160,0,0,0,0,0,0,0
Control,Control,C1.3,C1,161,1,0,0,0,0,0,0
Control,Control,C1.3,C1,162,1,0,0,0,0,0,0
Control,Control,C1.3,C1,163,1,1,1,1,1,1,0
Control,Control,C1.3,C1,164,0,0,0,0,0,0,0
Control,Control,C1.3,C1,165,1,1,1,1,1,1,1
Control,Control,C1.3,C1,166,1,1,1,1,1,1,1
Control,Control,C1.3,C1,167,1,1,1,1,1,1,0
Control,Control,C1.3,C1,168,1,0,0,0,0,0,0
Control,Control,C1.3,C1,169,1,0,0,0,0,0,0
Control,Control,C1.3,C1,170,0,0,0,0,0,0,0
Control,Control,C1.3,C1,171,0,0,0,0,0,0,0
Control,Control,C1.3,C1,172,1,0,0,0,0,0,0
Control,Control,C1.3,C1,173,0,0,0,0,0,0,0
Control,Control,C1.3,C1,174,0,0,0,0,0,0,0
Control,Control,C1.3,C1,175,1,1,1,1,1,1,0
Control,Control,C1.3,C1,176,1,1,1,1,1,1,0
Control,Control,C1.3,C1,177,1,1,1,1,1,1,1
Control,Control,C1.3,C1,178,1,1,1,1,1,1,1
Control,Control,C1.3,C1,179,1,1,1,1,1,1,1
Control,Control,C1.3,C1,180,1,1,1,1,1,1,1
Control,Control,C1.3,C1,181,1,0,0,0,0,0,0
Control,Control,C1.3,C1,182,0,0,0,0,0,0,0
Control,Control,C1.3,C1,183,1,1,1,1,1,1,1
Control,Control,C1.3,C1,184,1,0,0,0,0,0,0
Control,Control,C1.3,C1,185,1,0,0,0,0,0,0
Control,Control,C1.3,C1,186,1,1,1,1,1,1,0
Control,Control,C1.3,C1,187,1,1,1,1,1,1,1
Control,Control,C1.3,C1,188,1,0,0,0,0,0,0
Control,Control,C1.3,C1,189,0,0,0,0,0,0,0
Control,Control,C1.3,C1,190,1,0,0,0,0,0,0
Control,Control,C1.3,C1,191,0,0,0,0,0,0,0
Control,Control,C1.3,C1,192,1,0,0,0,0,0,0
Control,Control,C1.3,C1,193,1,1,1,1,1,1,1
Control,Control,C1.3,C1,194,1,1,1,1,1,1,1
Control,Control,C1.3,C1,195,1,1,1,1,1,1,1
Control,Control,C1.3,C1,196,1,1,1,1,1,1,1
Control,Control,C1.3,C1,197,1,1,1,1,1,1,1
Control,Control,C1.3,C1,198,1,0,0,0,0,0,0
Control,Control,C1.3,C1,199,1,1,1,1,1,1,1
Control,Control,C1.3,C1,200,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,201,1,1,1,1,1,1,0
Control,Fungicide,C1.4,C1,202,1,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,203,1,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,204,1,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,205,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,206,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,207,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,208,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,209,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,210,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,211,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,212,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,213,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,214,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,215,1,1,1,1,1,1,0
Control,Fungicide,C1.4,C1,216,1,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,217,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,218,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,219,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,220,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,221,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,222,1,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,223,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,224,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,225,1,1,1,1,1,1,0
Control,Fungicide,C1.4,C1,226,1,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,227,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,228,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,229,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,230,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,231,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,232,0,0,0,1,1,1,1
Control,Fungicide,C1.4,C1,233,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,234,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,235,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,236,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,237,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,238,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,239,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,240,1,1,1,1,1,1,0
Control,Fungicide,C1.4,C1,241,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,242,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,243,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,244,1,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,245,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,246,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,247,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,248,1,1,1,1,1,1,0
Control,Fungicide,C1.4,C1,249,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,250,1,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,251,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,252,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,253,1,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,254,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,255,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,256,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,257,1,1,1,1,1,1,0
Control,Fungicide,C1.4,C1,258,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,259,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,260,1,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,261,1,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,262,1,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,263,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,264,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,265,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,266,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,267,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,268,1,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,269,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,270,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,271,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,272,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,273,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,274,1,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,275,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,276,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,277,1,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,278,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,279,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,280,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,281,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,282,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,283,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,284,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,285,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,286,1,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,287,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,288,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,289,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,290,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,291,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,292,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,293,1,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,294,1,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,295,1,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,296,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,297,1,1,1,1,1,1,1
Control,Fungicide,C1.4,C1,298,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,299,0,0,0,0,0,0,0
Control,Fungicide,C1.4,C1,300,0,0,0,0,0,0,0
Control,Control,C2.1,C2,301,1,1,1,1,1,1,1
Control,Control,C2.1,C2,302,0,0,0,0,0,0,0
Control,Control,C2.1,C2,303,1,0,0,0,0,0,0
Control,Control,C2.1,C2,304,0,0,0,0,0,0,0
Control,Control,C2.1,C2,305,0,0,0,0,0,0,0
Control,Control,C2.1,C2,306,0,0,0,0,0,0,0
Control,Control,C2.1,C2,307,1,0,0,0,0,0,0
Control,Control,C2.1,C2,308,0,0,0,0,0,0,0
Control,Control,C2.1,C2,309,0,0,0,0,0,0,0
Control,Control,C2.1,C2,310,1,1,1,1,1,1,1
Control,Control,C2.1,C2,311,1,1,1,1,1,1,1
Control,Control,C2.1,C2,312,1,0,0,0,0,0,0
Control,Control,C2.1,C2,313,1,0,0,0,0,0,0
Control,Control,C2.1,C2,314,1,0,0,0,0,0,0
Control,Control,C2.1,C2,315,0,0,0,0,0,0,0
Control,Control,C2.1,C2,316,0,0,0,0,0,0,0
Control,Control,C2.1,C2,317,0,0,0,0,0,0,0
Control,Control,C2.1,C2,318,1,0,0,0,0,0,0
Control,Control,C2.1,C2,319,1,0,0,0,0,0,0
Control,Control,C2.1,C2,320,0,0,0,0,0,0,0
Control,Control,C2.1,C2,321,1,1,1,1,1,1,0
Control,Control,C2.1,C2,322,1,0,0,0,0,0,0
Control,Control,C2.1,C2,323,0,0,0,0,0,0,0
Control,Control,C2.1,C2,324,1,1,1,1,1,1,1
Control,Control,C2.1,C2,325,1,1,1,1,1,1,1
Control,Control,C2.1,C2,326,1,1,1,1,1,1,1
Control,Control,C2.1,C2,327,0,0,0,0,0,0,0
Control,Control,C2.1,C2,328,0,0,0,0,0,0,0
Control,Control,C2.1,C2,329,1,0,0,0,0,0,0
Control,Control,C2.1,C2,330,0,0,0,0,0,0,0
Control,Control,C2.1,C2,331,0,0,0,0,0,0,0
Control,Control,C2.1,C2,332,1,1,1,1,1,1,0
Control,Control,C2.1,C2,333,0,0,0,0,0,0,0
Control,Control,C2.1,C2,334,0,0,0,0,0,0,0
Control,Control,C2.1,C2,335,0,0,0,0,0,0,0
Control,Control,C2.1,C2,336,0,0,0,0,0,0,0
Control,Control,C2.1,C2,337,1,0,0,0,0,0,0
Control,Control,C2.1,C2,338,0,0,0,0,0,0,0
Control,Control,C2.1,C2,339,1,1,1,1,1,1,1
Control,Control,C2.1,C2,340,1,1,1,1,1,1,1
Control,Control,C2.1,C2,341,0,0,1,1,1,1,1
Control,Control,C2.1,C2,342,1,0,0,0,0,0,0
Control,Control,C2.1,C2,343,1,1,1,1,1,1,0
Control,Control,C2.1,C2,344,1,1,1,1,1,1,1
Control,Control,C2.1,C2,345,1,0,0,0,0,0,0
Control,Control,C2.1,C2,346,0,0,0,1,1,1,1
Control,Control,C2.1,C2,347,0,0,0,0,0,0,0
Control,Control,C2.1,C2,348,1,1,1,1,1,1,1
Control,Control,C2.1,C2,349,0,0,0,0,0,0,0
Control,Control,C2.1,C2,350,0,0,0,0,0,0,0
Control,Control,C2.1,C2,351,0,0,0,0,0,0,0
Control,Control,C2.1,C2,352,1,0,0,0,0,0,0
Control,Control,C2.1,C2,353,0,0,0,0,0,0,0
Control,Control,C2.1,C2,354,1,1,1,1,1,1,0
Control,Control,C2.1,C2,355,0,0,0,0,0,0,0
Control,Control,C2.1,C2,356,1,0,0,0,0,0,0
Control,Control,C2.1,C2,357,0,0,0,0,0,0,0
Control,Control,C2.1,C2,358,1,1,1,1,1,1,1
Control,Control,C2.1,C2,359,1,1,1,1,1,1,1
Control,Control,C2.1,C2,360,0,0,0,1,1,1,1
Control,Control,C2.1,C2,361,1,1,1,1,1,1,1
Control,Control,C2.1,C2,362,0,0,1,1,1,1,1
Control,Control,C2.1,C2,363,1,1,1,1,1,1,1
Control,Control,C2.1,C2,364,1,1,1,1,1,1,0
Control,Control,C2.1,C2,365,0,0,0,0,0,0,0
Control,Control,C2.1,C2,366,1,0,0,0,0,0,0
Control,Control,C2.1,C2,367,0,0,0,0,0,0,0
Control,Control,C2.1,C2,368,1,1,1,1,1,1,1
Control,Control,C2.1,C2,369,1,1,1,1,1,1,1
Control,Control,C2.1,C2,370,0,0,0,0,0,0,0
Control,Control,C2.1,C2,371,1,1,1,1,1,1,1
Control,Control,C2.1,C2,372,1,1,1,1,1,1,1
Control,Control,C2.1,C2,373,0,0,0,0,0,0,0
Control,Control,C2.1,C2,374,0,0,0,0,0,0,0
Control,Control,C2.1,C2,375,1,0,0,0,0,0,0
Control,Control,C2.1,C2,376,1,1,1,1,1,1,0
Control,Control,C2.1,C2,377,1,0,0,0,0,0,0
Control,Control,C2.1,C2,378,0,0,0,0,0,0,0
Control,Control,C2.1,C2,379,0,0,1,1,1,1,1
Control,Control,C2.1,C2,380,0,0,0,0,0,0,0
Control,Control,C2.1,C2,381,0,0,0,0,0,0,0
Control,Control,C2.1,C2,382,0,0,0,0,0,0,0
Control,Control,C2.1,C2,383,1,0,0,0,0,0,0
Control,Control,C2.1,C2,384,0,0,0,0,0,0,0
Control,Control,C2.1,C2,385,0,0,0,0,0,0,0
Control,Control,C2.1,C2,386,0,0,0,0,0,0,0
Control,Control,C2.1,C2,387,1,1,1,1,1,1,1
Control,Control,C2.1,C2,388,1,1,1,1,1,1,1
Control,Control,C2.1,C2,389,0,0,0,0,0,0,0
Control,Control,C2.1,C2,390,0,0,0,0,0,0,0
Control,Control,C2.1,C2,391,1,1,1,1,1,1,1
Control,Control,C2.1,C2,392,1,1,1,1,1,1,1
Control,Control,C2.1,C2,393,1,0,0,0,0,0,0
Control,Control,C2.1,C2,394,0,0,0,0,0,0,0
Control,Control,C2.1,C2,395,1,1,1,1,1,1,1
Control,Control,C2.1,C2,396,0,0,0,0,0,0,0
Control,Control,C2.1,C2,397,1,0,0,0,0,0,0
Control,Control,C2.1,C2,398,0,0,0,0,0,0,0
Control,Control,C2.1,C2,399,1,1,1,1,1,1,1
Control,Control,C2.1,C2,400,0,0,0,0,0,0,0
Control,Snow Mold,C2.2,C2,401,1,0,0,0,0,0,0
Control,Snow Mold,C2.2,C2,402,0,0,0,0,0,0,0
Control,Snow Mold,C2.2,C2,403,0,0,0,0,0,0,0
Control,Snow Mold,C2.2,C2,404,1,0,0,0,0,0,0
Control,Snow Mold,C2.2,C2,405,0,0,1,1,1,1,1
Control,Snow Mold,C2.2,C2,406,1,1,1,1,1,1,1
Control,Snow Mold,C2.2,C2,407,1,1,1,1,1,1,0
Control,Snow Mold,C2.2,C2,408,1,0,0,0,0,0,0
Control,Snow Mold,C2.2,C2,409,1,1,1,1,1,1,0
Control,Snow Mold,C2.2,C2,410,0,0,0,0,0,0,0
Control,Snow Mold,C2.2,C2,411,1,1,1,1,1,1,1
Control,Snow Mold,C2.2,C2,412,0,0,0,0,0,0,0
Control,Snow Mold,C2.2,C2,413,0,0,0,0,0,0,0
Control,Snow Mold,C2.2,C2,414,0,0,0,0,0,0,0
Control,Snow Mold,C2.2,C2,415,0,0,0,0,0,0,0
Control,Snow Mold,C2.2,C2,416,1,1,1,1,1,1,1
Control,Snow Mold,C2.2,C2,417,0,0,0,0,0,0,0
Control,Snow Mold,C2.2,C2,418,1,1,1,1,1,1,0
Control,Snow Mold,C2.2,C2,419,1,0,0,0,0,0,0
Control,Snow Mold,C2.2,C2,420,0,0,0,0,0,0,0
Control,Snow Mold,C2.2,C2,421,0,0,0,0,0,0,0
Control,Snow Mold,C2.2,C2,422,0,0,0,0,0,0,0
Control,Snow Mold,C2.2,C2,423,0,0,0,0,0,0,0
Control,Snow Mold,C2.2,C2,424,1,1,1,1,1,1,1
Control,Snow Mold,C2.2,C2,425,1,1,1,1,1,1,0
Control,Snow Mold,C2.2,C2,426,1,1,1,1,1,1,1
Control,Snow Mold,C2.2,C2,427,0,0,0,0,0,0,0
Control,Snow Mold,C2.2,C2,428,1,1,1,1,1,1,1
Control,Snow Mold,C2.2,C2,429,1,1,1,1,1,1,1
Control,Snow Mold,C2.2,C2,430,0,0,0,0,0,0,0
Control,Snow Mold,C2.2,C2,431,1,1,1,1,1,1,1
Control,Snow Mold,C2.2,C2,432,0,0,1,1,1,1,1
Control,Snow Mold,C2.2,C2,433,1,0,0,0,0,0,0
